,peers_ScripCode,ResQtr,peers_Name,LTP,Change,w52hi,w52hidt,w52lo,w52lodt,Revenue,PAT,Equity,OPM,NPM,RONW,EPS,Cash_EPS,PE,PB,BV,Results_QuarterName,SHP_QuarterName,PnPGrp,INDIAN,Foreign,Public,Institution,FII,DII,NonIns,Bodies_Corporate,FACE_VALUE,ScripCode
79,524804,116.0,AUROPHARMA,614.55,1.58,647.9,2023-05-16T00:00:00,397.3,2023-02-03T00:00:00,3432.26,298.82,58.59,16.08,8.71,510.02,23.68,30.88,25.95,0.0,0.0,Dec - 22,,,,,,,,,,,1.0,524715
80,532978,102.0,BAJAJFINSV,1438.05,0.75,1846.0,2022-09-13T00:00:00,1077.7,2022-07-01T00:00:00,24.3,0.49,79.57,4.69,2.02,0.62,18.95,19.05,75.89,0.0,0.0,Jun - 19,Mar - 23,968065288.0,968065288.0,0.0,624750172.0,112033666.0,0.0,112033666.0,512716506.0,0.0,1.0,532978
81,500490,100.0,BAJAJHLDNG,7081.45,2.17,7377.6,2022-09-15T00:00:00,4299.8,2022-06-20T00:00:00,109.19,60.62,111.29,87.01,55.52,54.47,86.81,87.21,81.57,0.0,0.0,Dec - 18,Mar - 23,57273575.0,57273575.0,0.0,54019935.0,5505233.0,0.0,5505233.0,48514702.0,0.0,10.0,532978
82,505800,117.0,RANEHOLDIN,940.05,-0.32,1049.0,2023-02-14T00:00:00,556.0,2022-06-20T00:00:00,25.29,5.49,14.28,37.96,21.71,38.45,33.83,36.89,27.79,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,532978
83,532468,101.0,KAMAHOLD,12330.9,-0.14,14600.0,2022-09-13T00:00:00,9615.0,2022-06-23T00:00:00,18.38,17.91,6.45,98.53,97.44,277.67,58.46,58.47,210.93,0.0,0.0,Mar - 19,,,,,,,,,,,10.0,532978
84,540376,117.0,DMART,3502.25,1.93,4606.0,2022-09-02T00:00:00,3292.65,2023-03-16T00:00:00,10337.12,505.21,648.26,7.97,4.89,77.93,39.43,47.81,88.82,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,540376
85,540064,112.0,FRETAIL,3.05,-4.98,10.85,2022-05-23T00:00:00,2.1,2023-04-03T00:00:00,2786.4,-1078.19,108.46,-12.19,-38.69,-994.09,-81.98,-52.75,-0.04,0.0,0.0,Dec - 21,Mar - 22,77590160.0,77590160.0,0.0,464693919.0,49962200.0,0.0,49962200.0,414731719.0,0.0,2.0,540376
86,532638,117.0,SHOPERSTOP,750.2,-0.02,819.0,2022-10-21T00:00:00,402.9,2022-06-22T00:00:00,916.48,16.25,54.83,19.56,1.77,29.64,10.87,45.68,69.02,0.0,0.0,Mar - 23,,,,,,,,,,,5.0,540376
87,534976,117.0,VMART,2034.35,-0.48,3426.8,2022-05-27T00:00:00,1994.0,2023-05-17T00:00:00,593.91,-36.96,19.77,5.13,-6.22,-186.92,-3.97,87.06,-512.43,0.0,0.0,Mar - 23,Mar - 23,8767948.0,8767948.0,0.0,11004515.0,6291696.0,0.0,6291696.0,4712819.0,0.0,10.0,540376
88,532538,117.0,ULTRACEMCO,7723.8,1.55,7908.75,2023-05-12T00:00:00,5158.05,2022-06-17T00:00:00,18121.02,1650.26,288.69,18.44,9.11,571.64,170.32,261.05,45.35,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,532538
